"","clustering_prop","cluster"
"1",0.096155952440248,1
"2",0.0812776140469218,2
"3",0.0898826112250408,3
"4",0.0863546585989018,4
"5",0.0482367340883002,5
"6",0.0581919749533324,6
"7",0.0760466224712558,7
"8",0.0484131317196072,8
"9",0.0455170033365131,9
"10",0.026020254232605,10
"11",0.0579482254991628,11
"12",0.0256289722140696,12
"13",0.0764635623270722,13
"14",0.065289574191192,14
"15",0.0778907795258284,15
"16",0.0684326592581158,16
"17",0.0722428480943459,17
"18",0.0638912220593769,18
"19",0.0711812550768441,19
"20",0.0640932775279649,20
"21",0.0701549415856037,21
"22",0.0741254919048401,22
"23",0.0614986287329227,23
"24",0.0874643600613055,24
"25",0.0650201668997414,25
"26",0.0805495729140732,26
"27",0.0729067446339921,27
"28",0.0715115997318371,28
"29",0.0688752569512133,29
"30",0.067547463871921,30
"31",0.0746097835835192,31
"32",0.072929195241613,32
"33",0.0666943407823273,33
"34",0.0670022348296995,34
"35",0.0748567402673489,35
"36",0.0695936763950816,36
"37",0.0582946063024564,37
"38",0.0567936228215173,38
"39",0.0337464704838494,39
"40",0.0426048388051184,40
"41",0.0827625613795603,41
"42",0.0952386847574518,42
"43",0.095623552316667,43
"44",0.0742634027802255,44
"45",0.0702768163126885,45
"46",0.0687886617503898,46
"47",0.0642536390109712,47
"48",0.0713608599378112,48
"49",0.0621561108132486,49
"50",0.0751485981664204,50
"51",0.065645576683466,51
"52",0.0866080297420518,52
"53",0.0736315785371806,53
"54",0.0875798203290701,54
"55",0.0833655205556641,55
"56",0.0831506361684356,56
"57",0.0707097923168055,57
"58",0.0755687452518969,58
"59",0.0573869603086407,59
"60",0.0722011541087643,60
"61",0.0673646517812937,61
"62",0.0708028019769492,62
"63",0.0816432382281762,63
"64",0.0703569970541916,64
"65",0.0830929060345534,65
"66",0.0738881569099907,66
"67",0.0785931628213961,67
"68",0.072194739649444,68
"69",0.0849081980221849,69
"70",0.0775957143970968,70
"71",0.0683524785166127,71
"72",0.0700394813178391,72
"73",0.064019511245782,73
"74",0.0758413597730077,74
"75",0.0698149752416303,75
"76",0.0722268119460453,76
"77",0.0592247029038931,77
"78",0.0467678229039624,78
"79",0.0585800497422077,79
"80",0.05635423235808,80
"81",0.0689843027596576,81
"82",0.0973233840365339,82
"83",0.0765180852312943,83
"84",0.0619059468997587,84
"85",0.0682306037895279,85
"86",0.070645647723603,86
"87",0.0493560572396843,87
"88",0.0713448237895105,88
"89",0.0708509104218511,89
"90",0.0645487041397028,90
"91",0.0832244024506185,91
"92",0.0846387907307342,92
"93",0.0775604348708354,93
"94",0.0685481195258804,94
"95",0.0804501487946092,95
"96",0.0658829116783154,96
"97",0.0726341301128813,97
"98",0.0580348206999862,98
"99",0.0685417050665601,99
"100",0.0608796334085183,100
"101",0.0648565981870749,101
"102",0.0649367789285781,102
"103",0.0732916121932072,103
"104",0.0722749203909472,104
"105",0.0835226748090103,105
"106",0.0818549153857446,106
"107",0.0762230201025627,107
"108",0.071255021359027,108
"109",0.0813449658697845,109
"110",0.0793468617915258,110
"111",0.0702094644898258,111
"112",0.0626949253961498,112
"113",0.067319750566052,113
"114",0.0696770643662448,114
"115",0.0604691080120221,115
